,amr,amp,azt,cha,nin,nue,rod,roj,rom,rxa,sal,sep,ven,ver,chu,cri,nio,niy,pic,pin,pir,rbt,sbs,stg,vci,nfa,ame,ams,amt,anr,cht,nnv,rby,rds,rme,rom,rss,rss,rxy,sfd,vco,vlz
amr,0,5,0,6,6,0,0,0,4,0,0,2,2,6,0,0,1,0,0,5,0,5,0,0,0,4,8,9,6,0,1,35,6,34,0,4,5,5,0,3,1,1
amp,0,0,2,2,0,2,5,15,2,1,3,4,4,0,0,1,1,0,3,0,0,0,1,1,3,0,1,2,0,0,7,4,0,0,15,0,0,0,0,0,0,0
azt,0,0,0,1,0,1,3,3,3,2,1,2,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,5,0,3,0,0,0,0,0,0,0
cha,0,0,0,0,0,2,0,2,1,0,1,1,2,0,0,0,0,0,4,1,3,0,0,1,2,0,2,2,0,0,4,2,1,0,2,1,1,0,0,0,1,0
nin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
nue,0,0,0,0,0,0,4,3,1,1,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0,3,0,0,0,0,0,0,0
rod,0,0,0,0,0,0,0,1,0,1,1,0,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,4,0,1,0,1,0,0,0,0,0,0,0
roj,0,0,0,0,0,0,0,0,6,3,4,3,13,0,0,1,1,0,0,1,2,4,0,1,6,0,0,0,1,0,9,15,2,2,66,1,1,0,1,0,0,0
rom,0,0,0,0,0,0,0,0,0,3,2,7,0,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,1,0,1,2,0,0,6,1,1,0,0,0,0,0
rxa,0,0,0,0,0,0,0,0,0,0,4,2,4,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,2,1,2,0,3,0,0,4,1,0,0,0
sal,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,1,0,2,0,0,2,0,0,0,0,0,2,3,1,0,0,4,0,0,0,0,0,0,0
sep,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,4,1,2,0,0,1,1,0,0,1,1,0,2,2,0,0,3,0,0,0,0,0,0,0
