ID;age.sex.class;group.name;play.even;degree;im.ad.r;av.players;age.sex.class2;play.rate;prop.players;num.not.players;z.ir;z.playrate;z.group;btw;close;eigen
ame;infant;aga;0,460085481;12;0,475;38;immature;6,650671785;0,315789474;27;-0,003198971;-0,812010775;1,108371371;0,039829303;227,7948504;0,283648621
amp;adult female;aga;0,702418101;21;0,475;38;adult female;61,90909091;0,552631579;18;-0,003198971;0,80056204;1,108371371;0,024182077;224,9978138;0,299344446
amr;adult female;aga;0,782317769;22;0,475;38;adult female;92,06521739;0,578947368;17;-0,003198971;1,680589925;1,108371371;0,503556188;270,6520503;0,917297459
ams;infant;aga;0,568188955;9;0,475;38;immature;43,4452975;0,236842105;30;-0,003198971;0,261744394;1,108371371;0,00284495;126,5290463;0,062528756
amt;infant;aga;0,399210719;5;0,475;38;immature;8,809980806;0,131578947;34;-0,003198971;-0,748996974;1,108371371;0;144,6312411;0,094012778
anr;juvenile;aga;0,200203202;3;0,475;38;immature;3,970588235;0,078947368;36;-0,003198971;-0,890222022;1,108371371;0;81,78212921;0,005401371
azt;subadult female;aga;0,760707967;18;0,475;38;adult female;43,36956522;0,473684211;21;-0,003198971;0,259534345;1,108371371;0,100995733;171,3478371;0,217905036
cha;adult female;aga;0,810600469;21;0,475;38;adult female;46,57894737;0,552631579;18;-0,003198971;0,353191791;1,108371371;0;116,8494365;0,146564953
cht;infant;aga;0,760181673;27;0,475;38;immature;24,23076923;0,710526316;12;-0,003198971;-0,29898149;1,108371371;0,088193457;246,9800329;0,687412252
chu;adult male;aga;0,262748081;3;0,475;38;adult male;14,82617587;0,078947368;36;-0,003198971;-0,573430015;1,108371371;0;118,4472971;0,01778543
cri;adult male;aga;0,533509828;10;0,475;38;adult male;17,14285714;0,263157895;29;-0,003198971;-0,505823715;1,108371371;0;168,5660076;0,110869271
nfa;adult male;aga;0,421362474;6;0,475;38;adult male;15,76923077;0,157894737;33;-0,003198971;-0,545909417;1,108371371;0;157,3534366;0,129287104
nin;adult female;aga;0,228430561;3;0,475;38;adult female;16,30434783;0,078947368;36;-0,003198971;-0,530293422;1,108371371;0;209,9774127;0,206188218
nio;adult male;aga;0,573168467;10;0,475;38;adult male;14,45652174;0,263157895;29;-0,003198971;-0,584217406;1,108371371;0;130,8813193;0,077895444
niy;adult male;aga;0,515950003;8;0,475;38;adult male;20;0,210526316;31;-0,003198971;-0,422445454;1,108371371;0;125,8037051;0,038362068
nnv;juvenile;aga;0,728175058;26;0,475;38;immature;144,384058;0,684210526;13;-0,003198971;3,207378808;1,108371371;0,145092461;242,714204;1
pic;adult male;aga;0,683365235;14;0,475;38;adult male;7,20212766;0,368421053;25;-0,003198971;-0,795917973;1,108371371;0,00284495;132,9500358;0,088622797
pin;adult male;aga;0,611965151;12;0,475;38;adult male;35,61052632;0,315789474;27;-0,003198971;0,033107035;1,108371371;0;166,2628543;0,172911313
pir;adult male;aga;0,753228716;19;0,475;38;adult male;31,4375;0,5;20;-0,003198971;-0,088671852;1,108371371;0,0056899;145,1858428;0,144793654
rbt;adult male;aga;0,475638967;10;0,475;38;adult male;30,17241379;0,263157895;29;-0,003198971;-0,125590093;1,108371371;0,017069701;227,7776299;0,282657964
rby;juvenile;aga;0,643870599;17;0,475;38;immature;98,99109792;0,447368421;22;-0,003198971;1,882703682;1,108371371;0,027027027;231,979894;0,641091306
rds;juvenile;aga;0,500101057;8;0,475;38;immature;83,80588235;0,210526316;31;-0,003198971;1,439562778;1,108371371;0,086770982;243,6865225;0,757671778
rme;infant;aga;0,770786258;24;0,475;38;immature;4,323529412;0,631578947;15;-0,003198971;-0,879922354;1,108371371;0,109530583;231,2592994;0,700165048
rod;adult female;aga;0,63556148;12;0,475;38;adult female;15,54896142;0,315789474;27;-0,003198971;-0,552337404;1,108371371;0;116,3459288;0,067067306
roj;adult female;aga;0,840195963;24;0,475;38;adult female;15;0,631578947;15;-0,003198971;-0,568357411;1,108371371;0;128,3583343;0,200268033
rom;subadult female;aga;0,723979318;17;0,475;38;adult female;46,58823529;0,447368421;22;-0,003198971;0,353462835;1,108371371;0,174964438;229,8243798;0,3987833
rss;infant;aga;0,725252162;20;0,475;38;immature;94,56896552;0,526315789;19;-0,003198971;1,753655283;1,108371371;0,025604552;221,0836776;0,563055132
rxa;adult female;aga;0,725777529;16;0,475;38;adult female;45,77586207;0,421052632;23;-0,003198971;0,329755841;1,108371371;0;150,0378867;0,176638695
rxy;juvenile;aga;0,459188847;8;0,475;38;immature;79,13793103;0,210526316;31;-0,003198971;1,303340795;1,108371371;0,004267425;219,6807027;0,550423723
sal;adult female;aga;0,735971281;17;0,475;38;adult female;47,28813559;0,447368421;22;-0,003198971;0,373887599;1,108371371;0,00284495;142,715907;0,134956164
sbs;adult male;aga;0,526988166;11;0,475;38;adult male;5,096153846;0,289473684;28;-0,003198971;-0,857375326;1,108371371;0;154,3453926;0,100780238
sep;adult female;aga;0,752067265;20;0,475;38;adult female;67,89473684;0,526315789;19;-0,003198971;0,975237502;1,108371371;0,126600284;232,6926898;0,30367141
sfd;juvenile;aga;0,350634387;4;0,475;38;immature;39,83050847;0,105263158;35;-0,003198971;0,156256206;1,108371371;0;159,7552173;0,127100552
stg;adult male;aga;0,601959143;11;0,475;38;adult male;15,38095238;0,289473684;28;-0,003198971;-0,557240309;1,108371371;0,051209104;153,4855706;0,069692726
vci;adult male;aga;0,647598994;13;0,475;38;adult male;17,22222222;0,342105263;26;-0,003198971;-0,503507652;1,108371371;0;106,4980979;0,05888999
vco;infant;aga;0,336729859;5;0,475;38;immature;3,461538462;0,131578947;34;-0,003198971;-0,905077311;1,108371371;0,038406828;215,1346616;0,200840793
ven;adult female;aga;0,774563593;19;0,475;38;adult female;46,63461538;0,5;20;-0,003198971;0,354816317;1,108371371;0;131,2696398;0,161444715
ver;adult female;aga;0,478999126;6;0,475;38;adult female;76,36363636;0,157894737;33;-0,003198971;1,222380242;1,108371371;0,019914651;169,7644931;0,126118529
vlz;juvenile;aga;0,259234808;3;0,475;38;immature;18,36363636;0,078947368;36;-0,003198971;-0,470198458;1,108371371;0;213,6584508;0,238661622
chy;adult male;ch;0,721944775;9;0,625;12;adult male;11,06359649;0,75;4;0,945829006;-0,683231079;-0,6459182;0;419,5031353;0,142932606
Cp;adult male;ch;0,58775392;10;0,625;12;adult male;5,420321637;0,833333333;3;0,945829006;-0,847915334;-0,6459182;0;311,7960886;0,051780777
Ev;juvenile;ch;0,741966424;10;0,625;12;immature;64,921875;0,833333333;3;0,945829006;0,888482284;-0,6459182;0,166666667;627,6088572;0,555650386
Fd;adult female;ch;0,745252844;9;0,625;12;adult female;15,52266082;0,75;4;0,945829006;-0,553104918;-0,6459182;0;561,9359697;0,204103545
Fl;juvenile;ch;0,583093672;11;0,625;12;immature;86,42922794;0,916666667;2;0,945829006;1,516118275;-0,6459182;0,060606061;650,432749;0,950185724
Lc;adult female;ch;0,966357321;8;0,625;12;adult female;28,32967836;0,666666667;5;0,945829006;-0,17936552;-0,6459182;0,242424242;642,5439646;0,254210796
Li;infant;ch;0,892721613;10;0,625;12;immature;40,73464912;0,833333333;3;0,945829006;0,182641192;-0,6459182;0,348484848;722,4849246;0,640262261
Ll;subadult male;ch;0,47719918;10;0,625;12;adult male;6,374269006;0,833333333;3;0,945829006;-0,820076869;-0,6459182;0;417,5542659;0,09025258
Ln;adult female;ch;0,452329457;8;0,625;12;adult female;6,374269006;0,666666667;5;0,945829006;-0,820076869;-0,6459182;0;423,7290336;0,066599477
Ls;juvenile;ch;0,749370844;12;0,625;12;immature;55,80882353;1;1;0,945829006;0,622541649;-0,6459182;0;549,7572837;0,483332018
Lu;juvenile;ch;0,635210663;11;0,625;12;immature;96,23161765;0,916666667;2;0,945829006;1,802175448;-0,6459182;0,075757576;667,5284321;1
Rs;adult female;ch;0,914571601;12;0,625;12;adult female;15,15716374;1;1;0,945829006;-0,563770997;-0,6459182;0;437,0759264;0,150360577
Sv;adult male;ch;0,826613234;10;0,625;12;adult male;10,4130117;0,833333333;3;0,945829006;-0,702216699;-0,6459182;0;357,1452781;0,115028213
